29888,55,15,111,88,217,214,8,5,4,151,11,39,36,40,7,6,1,6,106,6,1,61,26,12,1,1,0,2,41,0,1,13,12,7,0,4,15,0,0,18,3,21,0,21,10,0,0,0,0,0,0,2,0,1,0,1,7,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59,12490,2,3,2,939,2,1,0,0,0,0,95,7,2,0,0,0,0,0,3,0,7,0,40,17,14,0,1924,13,0,0,0,0,0,0,0,2,0,0,1,296,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,6,4250,0,0,24,52,0,0,0,0,0,0,1,1,0,0,0,0,0,5,4,0,0,2,0,0,1,0,7,0,1,0,0,1,2,0,0,0,0,178,1,0,0,0,0,28,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
768,8,1,188,7,36,4,2,0,0,9,0,7,42,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0,0,1,0,0,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,69,9,1,5204,427,50,3,4,0,365,1,102,1,45,0,0,0,0,1,0,0,1,0,2,0,22,2,1,53,0,0,1,0,0,1,0,0,0,0,1,0,24,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4860,891,362,54,1366,7117,629,205,78,64,496,56,264,102,1613,3,8,1,15,20,20,11,61,5,237,46,125,19,8,329,0,15,7,11,13,2,10,14,1,2,108,4,8,4,9,30,7,1,1,9,1,7,324,0,78,0,14,15,5,1,0,16,0,0,2,3,0,0,1,7,33,1,1,0,0,5,11,0,1,0,8,6,1,0,11,0,0,1,1,4,0
338,16,86,4,22,169,12901,0,0,7,86,1,23,6,29,0,5,0,0,131,1,1,21,19,80,2,2,1,0,13,0,1,0,0,0,0,7,0,0,0,37,1,1,5,0,5,8,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,6,0,0,10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,0
124,95,7,0,66,168,9,4128,6,0,93,0,17,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,54,2,0,21,34,5,2,406,0,54,0,15,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,1,0,1,618,29,0,0,3598,4,1,28,2,2,0,1,0,1,0,1,0,0,0,241,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
